"","RecordType","Latitude","Longitude","ZIP","VIN","MAKE","MODEL","BODY","YEAR","SELLER","CITY","COUNTYNUM","WGT","STATE","MON","NewUsed","RecodedType","Geography","NewZips","CarCount","Dealer"
"840","CarSale",29.92,-95.55,77064,"5FNRL5H63GB083794","HOND","ODYSSEY EXL","VN",2016,"AUTONATION HONDA ROSEVILLE","HOUSTON",NA,"P","TX",201605,"New",1,0,77064,1,NA
"1098","CarSale",32.64,-117.06,91910,"19XFC1F33GE216130","HOND","CIVIC EX-T","4D",2016,"ELK GROVE HONDA","CHULA VISTA",73,"P","CA",201608,"New",1,0,91910,1,NA
"2694","CarSale",32.78,-115.23,92250,"2HGFC2F71GH511631","HOND","CIVIC EX","4D",2016,"AUTONATION HONDA ROSEVILLE","HOLTVILLE",25,"P","CA",201601,"New",1,0,92250,1,NA
"3180","CarSale",32.86,-115.82,92251,"3CZRU6H32GM744875","HOND","HR-V LX","UT",2016,"ELK GROVE HONDA","IMPERIAL",25,"P","CA",201606,"New",1,0,92251,1,NA
"3744","CarSale",33.1,-117.25,92009,"5FNRL5H69DB062234","HOND","ODYSSEY EXL","VN",2013,"AUTONATION HONDA ROSEVILLE","CARLSBAD",73,"P","CA",201603,"Used",2,0,92009,1,NA
"3753","CarSale",33.1,-117.25,92009,"5FNRL5H6XGB015086","HOND","ODYSSEY EXL","VN",2016,"AUTONATION HONDA ROSEVILLE","CARLSBAD",73,"P","CA",201601,"New",1,0,92009,1,NA
"4269","CarSale",33.22,-117.21,92084,"5FNRL5H42GB108795","HOND","ODYSSEY EX","VN",2016,"ELK GROVE HONDA","VISTA",73,"P","CA",201606,"New",1,0,92084,1,NA
"4352","CarSale",33.32,-117.41,92058,"19XFC2F73GE212460","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","OCEANSIDE",73,"P","CA",201604,"New",1,0,92058,1,NA
"6148","CarSale",33.74,-118.19,90802,"2HKRM4H71FH659723","HOND","CR-V EX-L","UT",2015,"AUTONATION HONDA ROSEVILLE","LONG BEACH",37,"P","CA",201601,"New",1,0,90802,1,NA
"7755","CarSale",33.8,-118,90680,"1HGCR2F33GA089620","HOND","ACCORD LX","4D",2016,"AUTONATION HONDA ROSEVILLE","STANTON",59,"P","CA",201601,"New",1,0,90680,1,NA
"8714","CarSale",33.86,-116.61,92262,"2HGFC1F35GH650765","HOND","CIVIC EX-T","4D",2016,"ELK GROVE HONDA","PALM SPRINGS",65,"P","CA",201609,"New",1,0,92262,1,NA
"8726","CarSale",33.86,-116.61,92262,"2HGFC1F35GH650765","HOND","CIVIC EX-T","4D",2016,"ELK GROVE HONDA","PALM SPRINGS",65,"P","CA",201609,"New",1,0,92262,1,NA
"8969","CarSale",33.88,-117.96,92833,"3CZRU5H52GM737131","HOND","HR-V EX","UT",2016,"ELK GROVE HONDA","FULLERTON",59,"P","CA",201606,"New",1,0,92833,1,NA
"9039","CarSale",33.88,-117.53,92879,"2HGFC3B32GH358461","HOND","CIVIC EX-T","4D",2016,"ELK GROVE HONDA","CORONA",65,"P","CA",201609,"New",1,0,92879,1,NA
"9041","CarSale",33.88,-117.53,92879,"2HGFC3B32GH358461","HOND","CIVIC EX-T","4D",2016,"ELK GROVE HONDA","CORONA",65,"P","CA",201609,"New",1,0,92879,1,NA
"9121","CarSale",33.89,-118.13,90706,"2HGFC2F70GH518974","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","BELLFLOWER",37,"P","CA",201601,"New",1,0,90706,1,NA
"9211","CarSale",33.9,-117.79,92886,"3CZRU6H53GM727990","HOND","HR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","YORBA LINDA",59,"P","CA",201603,"New",1,0,92886,1,NA
"26696","CarSale",33.99,-117.53,91752,"19XFB2F54EE275811","HOND","CIVIC LX","4D",2014,"AUTONATION HONDA ROSEVILLE","MIRA LOMA",65,"P","CA",201608,"Used",2,0,91752,1,NA
"26813","CarSale",34,-117.45,92509,"5FNYF5H89GB039576","HOND","PILOT EXL","UT",2016,"ELK GROVE HONDA","RIVERSIDE",65,"P","CA",201606,"New",1,0,92509,1,NA
"26994","CarSale",34.01,-117.16,92373,"19XFB4F29FE201223","HOND","CIVIC HYBRI","4D",2015,"AUTONATION HONDA ROSEVILLE","REDLANDS",71,"P","CA",201606,"New",1,0,92373,1,NA
"27054","CarSale",34.02,-119.79,93109,"19XFC2F74GE241983","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","SANTA BARBARA",83,"P","CA",201609,"New",1,0,93109,1,NA
"27055","CarSale",34.02,-119.79,93109,"19XFC2F74GE241983","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","SANTA BARBARA",83,"P","CA",201609,"New",1,0,93109,1,NA
"27362","CarSale",34.05,-118.45,90025,"JHMGK5H5XGS003006","HOND","FIT LX","5D",2016,"ELK GROVE HONDA","LOS ANGELES",37,"P","CA",201607,"New",1,0,90025,1,NA
"27395","CarSale",34.05,-118.45,90025,"1HGCR2F69GA031893","HOND","ACCORD SPRT","4D",2016,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201601,"New",1,0,90025,1,NA
"28110","CarSale",34.07,-118.15,91803,"3CZRU6H57GM723943","HOND","HR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","ALHAMBRA",37,"P","CA",201601,"New",1,0,91803,1,NA
"28313","CarSale",34.08,-118.21,90031,"2HKRM4H50GH670518","HOND","CR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201607,"New",1,0,90031,1,NA
"28618","CarSale",34.1,-117.81,91773,"1HGCR2F79GA126463","HOND","ACCORD EX","4D",2016,"AUTONATION HONDA ROSEVILLE","SAN DIMAS",37,"P","CA",201606,"New",1,0,91773,1,NA
"28821","CarSale",34.11,-118.19,90042,"5FNYF6H94GB073651","HOND","PILOT TOUR","UT",2016,"AUTONATION HONDA ROSEVILLE","LOS ANGELES",37,"P","CA",201605,"New",1,0,90042,1,NA
"31570","CarSale",34.36,-118.5,91321,"1HGCR3F9XFA020951","HOND","ACCORD TOUR","4D",2015,"AUTONATION HONDA ROSEVILLE","NEWHALL",37,"P","CA",201603,"New",1,0,91321,1,NA
"32000","CarSale",34.43,-118.58,91355,"5FNYF6H5XGB050470","HOND","PILOT EXL","UT",2016,"AUTONATION HONDA ROSEVILLE","VALENCIA",37,"P","CA",201601,"New",1,0,91355,1,NA
"32237","CarSale",34.5,-117.3,92395,"1HGCR2F02GA105764","HOND","ACCORD EX","4D",2016,"AUTONATION HONDA ROSEVILLE","VICTORVILLE",71,"P","CA",201603,"New",1,0,92395,1,NA
"33189","CarSale",35.13,-118.5,93561,"5FNYF6H33GB051880","HOND","PILOT EX","UT",2016,"ELK GROVE HONDA","TEHACHAPI",29,"P","CA",201601,"New",1,0,93561,1,NA
"33800","CarSale",35.28,-118.89,93307,"19XFB2F59EE233652","HOND","CIVIC LX","4D",2014,"AUTONATION HONDA ROSEVILLE","BAKERSFIELD",29,"P","CA",201608,"Used",2,0,93307,1,NA
"34513","CarSale",35.47,-120.69,93422,"19XFC2F74GE227873","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","ATASCADERO",79,"P","CA",201606,"New",1,0,93422,1,NA
"38297","CarSale",36.14,-119.06,93267,"5FNRL5H93EB117370","HOND","ODYSSEY TOU","VN",2014,"AUTONATION HONDA ROSEVILLE","STRATHMORE",107,"P","CA",201601,"Used",2,0,93267,1,NA
"38586","CarSale",36.21,-120.38,93210,"1HGCR2F54GA141063","HOND","ACCORD SPRT","4D",2016,"AUTONATION HONDA ROSEVILLE","COALINGA",19,"P","CA",201603,"New",1,0,93210,1,NA
"38608","CarSale",36.21,-120.38,93210,"1HGCR2F51DA215387","HOND","ACCORD SPRT","4D",2013,"ELK GROVE HONDA","COALINGA",19,"P","CA",201609,"Used",2,0,93210,1,NA
"38637","CarSale",36.21,-120.38,93210,"1HGCR2F51DA215387","HOND","ACCORD SPRT","4D",2013,"ELK GROVE HONDA","COALINGA",19,"P","CA",201609,"Used",2,0,93210,1,NA
"42643","CarSale",36.28,-119.85,93245,"JHMGE8H59CC018593","HOND","FIT SPORT","5D",2012,"AUTONATION HONDA ROSEVILLE","LEMOORE",31,"P","CA",201601,"Used",2,0,93245,1,NA
"43079","CarSale",36.3,-119.38,93277,"1HGCR2F86GA216436","HOND","ACCORD EX-L","4D",2016,"AUTONATION HONDA ROSEVILLE","VISALIA",107,"P","CA",201607,"New",1,0,93277,1,NA
"43514","CarSale",36.39,-119.38,93291,"1HGCR3F8XGA029559","HOND","ACCORD EX-L","4D",2016,"ELK GROVE HONDA","VISALIA",107,"P","CA",201606,"New",1,0,93291,1,NA
"44016","CarSale",36.54,-119.64,93662,"3CZRM3H50GG700016","HOND","CR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","SELMA",19,"P","CA",201609,"New",1,0,93662,1,NA
"44041","CarSale",36.54,-119.64,93662,"3CZRM3H50GG700016","HOND","CR-V EX","UT",2016,"AUTONATION HONDA ROSEVILLE","SELMA",19,"P","CA",201609,"New",1,0,93662,1,NA
"44447","CarSale",36.58,-121.84,93940,"3CZRU5H70GM735783","HOND","HR-V EX","UT",2016,"ELK GROVE HONDA","MONTEREY",53,"P","CA",201606,"New",1,0,93940,1,NA
"44496","CarSale",36.59,-119.17,93647,"19XFC2F71GE238569","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","OROSI",107,"P","CA",201609,"New",1,0,93647,1,NA
"44499","CarSale",36.59,-119.17,93647,"19XFC2F71GE238569","HOND","CIVIC EX","4D",2016,"ELK GROVE HONDA","OROSI",107,"P","CA",201609,"New",1,0,93647,1,NA
"45793","CarSale",36.68,-121.6,93905,"5J6RM3H3XGL025602","HOND","CR-V LX","UT",2016,"AUTONATION HONDA ROSEVILLE","SALINAS",53,"P","CA",201609,"New",1,0,93905,1,NA
"45794","CarSale",36.68,-121.6,93905,"5J6RM3H3XGL025602","HOND","CR-V LX","UT",2016,"AUTONATION HONDA ROSEVILLE","SALINAS",53,"P","CA",201609,"New",1,0,93905,1,NA
"46158","CarSale",36.73,-119.78,93721,"5GAKRCEDXCJ342857","BUIC","ENCLAVE LEA","UT",2012,"AUTONATION HONDA ROSEVILLE","FRESNO",19,"P","CA",201601,"Used",2,0,93721,1,NA
"46825","CarSale",36.75,-119.7,93727,"5FNRL5H3XGB078095","HOND","ODYSSEY SE","VN",2016,"ELK GROVE HONDA","FRESNO",19,"P","CA",201603,"New",1,0,93727,1,NA
"46831","CarSale",36.75,-119.7,93727,"5FNYF6H78GB072825","HOND","PILOT EXL","UT",2016,"AUTONATION HONDA ROSEVILLE","FRESNO",19,"P","CA",201604,"New",1,0,93727,1,NA
"48053","CarSale",36.8,-119.88,93722,"1HGCR2F56GA139167","HOND","ACCORD SPRT","4D",2016,"AUTONATION HONDA ROSEVILLE","FRESNO",19,"P","CA",201603,"New",1,0,93722,1,NA
"48069","CarSale",36.8,-119.88,93722,"5J6TF1H57DL000108","HOND","CROSS TOUR","UT",2013,"ELK GROVE HONDA","FRESNO",19,"P","CA",201604,"Used",2,0,93722,1,NA
"48079","CarSale",36.8,-119.88,93722,"2HGFC4B09GH302433","HOND","CIVIC LX-P","CP",2016,"AUTONATION HONDA ROSEVILLE","FRESNO",19,"P","CA",201606,"New",1,0,93722,1,NA
"49677","CarSale",36.83,-119.68,93611,"1HGCR2F88GA042580","HOND","ACCORD EX-L","4D",2016,"AUTONATION HONDA ROSEVILLE","CLOVIS",19,"P","CA",201602,"New",1,0,93611,1,NA
